Nombre de la Unidad Económica,Razón social,Descripcion estrato personal ocupado,Tipo de vialidad,Nombre de la vialidad,Número exterior o kilómetro,Tipo de asentamiento humano,Nombre de asentamiento humano,Código Postal,Clave entidad,Entidad federativa,Clave municipio,Municipio,Clave localidad,Localidad,Área geoestadística básica ,Latitud,Longitud,Fecha de incorporación al DENUE
CINEMA STIC,SINDICATO DE TRABAJADORES INDUSTRIA CINEMATOGRAFICA SA DE CV,0 a 5 personas,CALLE,EMILIANO ZAPATA ORIENTE,135,COLONIA,TEPIC CENTRO,63000,18,NAYARIT,17,Tepic,1,Tepic,1186,21.50905147,-104.8896396,2014-12
CINEMAC,,6 a 10 personas,CALLE,MIGUEL HIDALGO,129,COLONIA,CENTRO,63940,18,NAYARIT,6,Ixtlán del Río,1,Ixtlán del Río,57,21.03471918,-104.3666722,2019-11
CINEMAS GUAYABITOS,,6 a 10 personas,AVENIDA,SOL NUEVO,,COLONIA,RINCON DE GUAYABITOS,63724,18,NAYARIT,4,Compostela,154,Rincón de Guayabitos,90,21.02350576,-105.2687211,2019-11
CINEMEX FORUM TEPIC,OPERADORA DE CINEMAS SA DE CV,11 a 30 personas,CALLE,LUIS DONALDO COLOSIO,680,COLONIA,BENITO JUAREZ,63175,18,NAYARIT,17,Tepic,1,Tepic,2057,21.49285807,-104.864865,2011-03
CINEMEX TEPIC,OPERADORA DE CINEMAS SA DE CV,11 a 30 personas,AVENIDA,AVENIDA DE LOS INSURGENTES ORIENTE,368,COLONIA,LOS LLANITOS,63170,18,NAYARIT,17,Tepic,1,Tepic,328,21.49746983,-104.8849984,2014-12
CINEPOLIS DE MEXICO,CINEPOLIS DE MEXICO SA DE CV,11 a 30 personas,CALLE,LAZARO CARDENAS,340,LOCALIDAD,SAN VICENTE,63737,18,NAYARIT,20,Bahía de Banderas,88,San Vicente,681,20.74575113,-105.2551948,2019-11
MC. SAN VICENTE LAS PALMAS,CINEPOLIS DE MEXICO SA DE CV,31 a 50 personas,CARRETERA,Lázaro Cárdenas,340,FRACCIONAMIENTO,SAN VICENTE,63737,18,NAYARIT,20,Bahía de Banderas,88,San Vicente,681,20.74584415,-105.2551556,2010-07
ANGI CREME HELADOS,CINEPOLIS DE MEXICO ,0 a 5 personas,AVENIDA,HEBERTO CASTILLO MARTINEZ,,COLONIA,ARBOLEDAS,66000,19,NUEVO LEÓN   ,18,García,1,García,230,25.79505953,-100.584452,2020-11
C. ADANA LINCOLN MTY,CINEPOLIS DE MEXICO SA DE CV,31 a 50 personas,AVENIDA,ABRAHAM LINCOLN,5254,COLONIA,SAN JORGE,64330,19,NUEVO LEÓN   ,39,Monterrey,1,Monterrey,4110,25.72815139,-100.3686735,2012-06
C. ALMENARES,CINEPOLIS DE MEXICO SA DE CV,31 a 50 personas,AVENIDA,SENDERO NORTE,200,COLONIA,CENTENARIO II,66418,19,NUEVO LEÓN   ,46,San Nicolás de los Garza,1,San Nicolás de los Garza,447,25.76905989,-100.2777437,2019-04
C. ALTEA HUINALÁ,CINEPOLIS DE MEXICO SA DE CV,31 a 50 personas,CARRETERA,Julián Treviño Elizondo,100,COLONIA,LA NORIA,66640,19,NUEVO LEÓN   ,6,Apodaca,1,Ciudad Apodaca,583,25.74763285,-100.2000328,2019-04
C. CITADEL,CINEPOLIS DE MEXICO SA DE CV,51 a 100 personas,AVENIDA,ROMULO GARZA,410,COLONIA,LA FE,66477,19,NUEVO LEÓN   ,46,San Nicolás de los Garza,1,San Nicolás de los Garza,1110,25.72485287,-100.2166123,2010-07
