"Cst_Cnt","Depth_zone","mean_ChlorA","mean_NO2uM","mean_NO3uM","mean_O2ml_L","mean_O2Sat","mean_Phaeop","mean_PO4uM","mean_Salnty","mean_SiO3uM","mean_T_degC","Bottom_D","Distance","Lat_Dec","Lon_Dec","IntChl","Year","Quarter","Water_density_class","Dist_cat"
27305,"Intermediate",0.167142857142857,0.0385714285714286,8.81428571428571,5.10428571428571,82.8714285714286,0.18,0.925714285714286,33.184,8.62857142857143,11.6257142857143,3869,-213.72,31.186666,-120.916666,23.4,1993,1,"Light","Costera"
27305,"Deep",0.01,0.000625,29.425,2.345,35.6375,0.038,2.235625,33.9529375,44.26875,7.853125,3869,-213.72,31.186666,-120.916666,23.4,1993,1,"Intermediate","Costera"
27306,"Very shallow",0.1025,0,0.1,5.7325,101.1,0.04,0.36,33.192,2.625,15.71,4121,-253.99,30.846666,-121.591666,21.5,1993,1,"Light","Costera"
27306,"Shallow",0.2025,0.0025,0.1,5.79,101.075,0.095,0.3675,33.2005,2.575,15.2075,4121,-253.99,30.846666,-121.591666,21.5,1993,1,"Light","Costera"
27306,"Intermediate",0.211666666666667,0.0683333333333333,5.26666666666667,5.395,89.5,0.25,0.725,33.1733333333333,5.66666666666667,12.6766666666667,4121,-253.99,30.846666,-121.591666,21.5,1993,1,"Light","Costera"
27306,"Deep",0.0142857142857143,0.00117647058823529,29.0470588235294,2.43882352941176,37.0882352941176,0.0471428571428571,2.21,33.9041176470588,43.5,7.83941176470588,4121,-253.99,30.846666,-121.591666,21.5,1993,1,"Intermediate","Costera"
27307,"Very shallow",0.13,0,0.1,5.7175,100.7,0.0475,0.34,33.171,2.625,15.6575,4158,-293.72,30.513333,-122.256666,22.1,1993,1,"Light","Costera"
27307,"Shallow",0.156666666666667,0,0.1,5.725,100.733333333333,0.07,0.34,33.1788333333333,2.51666666666667,15.6016666666667,4158,-293.72,30.513333,-122.256666,22.1,1993,1,"Light","Costera"
27307,"Intermediate",0.218333333333333,0.06,2.11666666666667,5.62333333333333,95.9,0.165,0.511666666666667,33.1753333333333,3.8,14.0283333333333,4158,-293.72,30.513333,-122.256666,22.1,1993,1,"Light","Costera"
27307,"Deep",0.0242857142857143,0.00235294117647059,27.3235294117647,2.72529411764706,41.6823529411765,0.0514285714285714,2.08529411764706,33.8557058823529,40.0352941176471,8.10058823529412,4158,-293.72,30.513333,-122.256666,22.1,1993,1,"Intermediate","Costera"
27308,"Very shallow",0.112,0,0.1,5.69,100.84,0.04,0.344,33.1922,2.9,15.946,3656,-333.63,30.18,-122.923333,19.6,1993,1,"Light","Costera"
27308,"Shallow",0.15,0,0.1,5.714,100.76,0.062,0.342,33.1874,2.76,15.706,3656,-333.63,30.18,-122.923333,19.6,1993,1,"Light","Costera"
27308,"Intermediate",0.193333333333333,0.04,2.25,5.59666666666667,95.3,0.153333333333333,0.513333333333333,33.1996666666667,3.9,13.9466666666667,3656,-333.63,30.18,-122.923333,19.6,1993,1,"Light","Costera"
27308,"Deep",0.0171428571428571,0.00235294117647059,28.1470588235294,2.59588235294118,39.7411764705882,0.04,2.13647058823529,33.9032352941176,42.1941176470588,8.00176470588235,3656,-333.63,30.18,-122.923333,19.6,1993,1,"Intermediate","Costera"
27310,"Very shallow",0.1125,0,0.1,5.6175,100.625,0.0425,0.3575,33.21675,2.8,16.4725,4064,-373.5,29.846666,-123.586666,21.9,1993,1,"Light","Costera"
27310,"Shallow",0.166,0,0.1,5.62,100.38,0.072,0.352,33.229,2.62,16.336,4064,-373.5,29.846666,-123.586666,21.9,1993,1,"Light","Costera"
27310,"Intermediate",0.19,0.0383333333333333,0.55,5.66166666666667,98.7166666666667,0.15,0.398333333333333,33.1996666666667,2.78333333333333,15.15,4064,-373.5,29.846666,-123.586666,21.9,1993,1,"Light","Costera"
27310,"Deep",0.0342857142857143,0.00235294117647059,25.9176470588235,2.85058823529412,44.0588235294118,0.0685714285714286,2.00647058823529,33.8087647058824,37.8941176470588,8.41352941176471,4064,-373.5,29.846666,-123.586666,21.9,1993,1,"Intermediate","Costera"
27311,"Very shallow",0.116,0,0,5.564,100.64,0.05,0.326,33.3554,2.9,16.944,4229,-368.2,30.418333,-123.998333,20.5,1993,1,"Light","Costera"
27311,"Shallow",0.136,0,0,5.56,100.48,0.068,0.32,33.3486,2.74,16.896,4229,-368.2,30.418333,-123.998333,20.5,1993,1,"Light","Costera"
27311,"Intermediate",0.168333333333333,0.045,0.15,5.60833333333333,99.5666666666667,0.123333333333333,0.345,33.3298333333333,2.5,16.0216666666667,4229,-368.2,30.418333,-123.998333,20.5,1993,1,"Light","Costera"
